frame,word,count
баланс и семья,материал,4
баланс и семья,связывает,2
баланс и семья,выбором,2
баланс и семья,себе,2
баланс и семья,личными,2
баланс и семья,самореализация,2
баланс и семья,через,2
баланс и семья,интересы,2
барьеры и неравенство,мешает,3
барьеры и неравенство,женщинам,3
барьеры и неравенство,синдром,3
барьеры и неравенство,через,3
барьеры и неравенство,исследование,2
барьеры и неравенство,строить,2
барьеры и неравенство,самозванки,2
барьеры и неравенство,почему,2
карьера и лидерство,материал,5
карьера и лидерство,forbes,3
карьера и лидерство,карьеры,3
карьера и лидерство,бизнес,3
карьера и лидерство,индустрии,3
карьера и лидерство,успеха,3
карьера и лидерство,опыте,3
карьера и лидерство,женской,2
самореализация и выбор,через,3
самореализация и выбор,быть,2
самореализация и выбор,траекторию,2
самореализация и выбор,только,2
самореализация и выбор,ролей,2
самореализация и выбор,описывается,2
самореализация и выбор,дело,2
самореализация и выбор,самореализацию,2
статус и публичность,рейтинг,4
статус и публичность,через,3
статус и публичность,публичное,3
статус и публичность,признание,3
статус и публичность,статус,2
статус и публичность,самые,2
статус и публичность,успешные,2
статус и публичность,материал,2
